# time,tag,mass,x,y,z,vx,vy,vz,ax,ay,az
# s,,kg,m,m,m,m/s,m/s,m/s,m/s^2,m/s^2,m/s^2

0.000000000000000000e+00,3.400000000000000000e+01,1.000000000000000000e+00,8.564515606351932320e-01,6.759522695467694575e-01,2.628486276074487593e-01,2.068868990228284188e-01,5.971513105454572257e-01,1.839674160699938943e-01,7.928582534575708829e-01,2.073272663333826094e-01,2.780487484129778863e-02
0.000000000000000000e+00,3.500000000000000000e+01,1.000000000000000000e+00,1.381474442200507635e-01,5.314900674851090745e-01,6.029934647719963348e-01,1.118700776391623464e-01,7.136733841616991203e-01,5.838928160633438669e-01,6.187248212791573998e-02,9.575736852326315329e-01,4.579180413485673951e-01
0.000000000000000000e+00,3.600000000000000000e+01,1.000000000000000000e+00,3.391703230134210933e-01,7.825803610384597375e-01,8.455404833907199658e-01,7.972629000739874794e-01,4.878940240859710453e-01,5.684345825058275681e-01,7.083447203669699377e-01,1.147765482519469415e-02,5.124479334598672775e-01
0.000000000000000000e+00,3.700000000000000000e+01,1.000000000000000000e+00,6.553520898712275056e-01,9.076364903542974982e-01,4.143118425417188222e-01,2.282642451542149509e-02,8.875800392024385532e-01,9.886938079507645583e-02,9.750742425417379122e-01,2.508343726495417814e-01,2.218463798296739231e-01
0.000000000000000000e+00,3.800000000000000000e+01,1.000000000000000000e+00,4.622393855120301431e-01,8.769906028214813354e-01,7.548790564784650936e-01,4.847578354018073910e-01,2.142760504782401654e-01,8.607255221955067981e-01,7.592494498629416277e-01,3.564689364742156252e-01,6.172020396640224282e-01
0.000000000000000000e+00,3.900000000000000000e+01,1.000000000000000000e+00,1.193557798508801948e-01,7.217255653119558634e-02,3.173117274240292440e-01,5.702318988053494131e-01,4.233644951666692968e-01,6.263848724575744598e-01,7.148256374284668313e-01,5.413301379029278326e-01,1.431248719270439285e-02
0.000000000000000000e+00,4.000000000000000000e+01,1.000000000000000000e+00,1.799506210952749319e-01,8.728834102396539896e-01,6.495089915755593024e-01,5.772271385166971580e-02,4.961710607051603716e-01,8.689343965973805872e-01,8.791800019301782010e-01,1.278583561968807958e-01,6.109269069037903677e-01
0.000000000000000000e+00,4.100000000000000000e+01,1.000000000000000000e+00,8.577502187263996714e-01,2.438771762469509330e-01,8.491827613799098895e-01,1.446071910287989315e-01,4.942816861095378211e-01,6.069300427854047442e-01,4.419661902182039359e-01,4.612535549808323143e-01,8.792200211085807737e-01
0.000000000000000000e+00,4.200000000000000000e+01,1.000000000000000000e+00,2.895212210064538327e-01,5.743166816859873736e-01,2.844997998710752096e-02,3.162127408437234166e-01,6.467897731291190055e-01,3.462452186736497683e-02,4.731590318135072692e-01,5.511920497597089241e-01,6.634995921847255396e-01
0.000000000000000000e+00,4.300000000000000000e+01,1.000000000000000000e+00,3.874264747766226202e-01,9.461812070348338821e-01,9.684838270398623550e-01,2.418415059469680717e-01,3.920573973120482503e-01,8.443860230482352902e-01,6.288006468542102212e-01,3.995085337722843466e-01,2.702056170262567836e-01
0.000000000000000000e+00,4.400000000000000000e+01,1.000000000000000000e+00,9.345105544314246115e-01,8.445947246117821994e-01,4.417825531853015741e-01,1.582038193525200365e-01,6.759869708298699154e-01,8.420573087699435577e-01,2.972861226204863705e-01,9.158094713353267524e-01,5.483690681837014580e-01
0.000000000000000000e+00,4.500000000000000000e+01,1.000000000000000000e+00,4.858353315348586943e-01,3.216123914618403967e-01,7.995519627440890176e-01,3.598959701361665875e-01,7.852883728592603418e-01,3.731254537507000535e-03,8.511511079239900690e-01,5.809341524144395752e-02,7.211574518471119966e-01
0.000000000000000000e+00,4.600000000000000000e+01,1.000000000000000000e+00,7.358186271519775445e-01,8.379867406567669263e-01,6.401935127505916645e-01,3.450510517287687096e-01,6.232554122839067956e-01,5.332067085745744173e-01,4.839732782308620029e-01,7.958968751755944870e-01,5.701459963301686029e-01
0.000000000000000000e+00,4.700000000000000000e+01,1.000000000000000000e+00,4.664310154639605965e-01,2.344746969957505200e-01,6.009619989379944016e-01,3.564953523297994531e-01,3.000501718580350641e-01,2.987015787927403965e-01,5.053058028543233604e-02,9.841722632720922848e-01,9.398768544654605428e-01
0.000000000000000000e+00,4.800000000000000000e+01,1.000000000000000000e+00,1.971722183036134224e-01,7.866044610195711551e-01,9.627718117279500110e-01,4.082364907389903763e-01,2.302707493382316617e-02,6.153199539453590994e-02,4.819532563966822947e-01,5.046011207134329934e-01,5.326547475110141594e-01
0.000000000000000000e+00,4.900000000000000000e+01,1.000000000000000000e+00,2.764819107606935056e-01,6.177592296531141391e-01,9.266136775565437800e-01,9.921595981201012382e-01,9.196064510426419369e-01,7.528980611582340998e-01,3.634686824390609416e-01,3.510355303642027636e-01,6.475848490908620025e-01
0.000000000000000000e+00,5.000000000000000000e+01,1.000000000000000000e+00,8.618680874679126580e-01,6.408569219234901970e-01,7.881597815603011981e-01,5.229118065742536237e-01,1.893897366761670975e-01,1.066324153187380164e-01,2.479139053180230423e-01,9.273739340360044325e-01,8.995803534528110657e-01
0.000000000000000000e+00,5.100000000000000000e+01,1.000000000000000000e+00,6.943655324939049800e-01,4.852425119538439358e-01,7.704178937041852304e-01,9.851309765836663290e-01,6.162462665846892840e-01,5.839558622048330871e-01,4.721940023279321830e-01,3.356116743395747282e-01,1.036952707360123682e-01
0.000000000000000000e+00,5.200000000000000000e+01,1.000000000000000000e+00,8.277355355986646401e-01,8.939321868900123036e-01,2.727965249717134721e-01,6.582755778498627919e-01,1.649511939848495867e-01,4.635144495802662190e-01,4.040853525832002191e-01,3.946332102078187187e-01,4.053676127794642037e-01
0.000000000000000000e+00,5.300000000000000000e+01,1.000000000000000000e+00,9.878518476212887478e-01,3.904074604894447464e-01,3.496077292046260165e-01,6.690586766830712850e-01,8.363385827215809032e-01,8.301865534504422328e-01,3.754254765047152498e-01,7.355161879740109709e-01,7.628135381701151019e-03
0.000000000000000000e+00,5.400000000000000000e+01,1.000000000000000000e+00,2.085939627365954729e-01,2.444093744454329808e-01,6.904903682985611413e-01,5.992937361743426727e-01,7.493758697635800603e-01,4.871246140370834032e-01,2.446946574357983240e-01,7.356028828268719177e-01,9.315989573325552664e-01
0.000000000000000000e+00,5.500000000000000000e+01,1.000000000000000000e+00,5.765861798202935873e-01,1.610127090583948206e-01,2.630754154264652867e-01,5.392951080012984288e-01,8.439669031773702201e-01,9.797580120586643071e-01,7.970603392897637196e-01,5.939235761413638182e-01,2.541438462505841711e-01
0.000000000000000000e+00,5.600000000000000000e+01,1.000000000000000000e+00,8.923925509911267984e-02,1.187091188696824950e-01,7.258899403326442012e-01,4.922397550215952267e-01,3.392988111198251833e-01,9.763424795799039435e-01,3.403120026484204308e-01,1.642056697119755881e-01,5.696509432186902533e-02
0.000000000000000000e+00,5.700000000000000000e+01,1.000000000000000000e+00,2.439014071696796737e-01,7.385012892306300758e-01,9.621578610028672651e-01,7.196072081836399903e-01,6.087018541847910580e-02,3.040955670362361918e-01,5.164761004911130327e-01,5.491379443985281439e-01,3.117226724622832457e-01
0.000000000000000000e+00,5.800000000000000000e+01,1.000000000000000000e+00,1.422276872764860478e-02,4.135987659023021568e-02,9.092190314669473805e-01,5.581383634683271255e-01,2.192917654645930581e-01,1.018488367626030344e-01,7.879667770112498415e-01,9.226024761352006331e-01,8.602794568947534914e-01
0.000000000000000000e+00,5.900000000000000000e+01,1.000000000000000000e+00,4.101968250613065026e-01,2.685160581265456647e-01,6.696376426732550957e-01,9.047603273082976960e-01,8.849421692419483509e-01,3.701520227304557764e-01,9.562468051852563988e-01,5.839674434372400524e-01,2.579259938892742854e-01
0.000000000000000000e+00,6.000000000000000000e+01,1.000000000000000000e+00,1.933317577955265820e-01,3.216141504815428487e-01,9.534614985569078716e-02,3.613457317535360147e-01,1.675893710520459656e-02,2.309469654823915752e-01,5.451668983124166035e-01,8.317730765268034343e-01,9.740388780344895192e-01
0.000000000000000000e+00,6.100000000000000000e+01,1.000000000000000000e+00,5.945446991151037697e-02,7.178720073556004166e-01,1.874047419768682943e-01,7.757067933235899382e-01,9.451763713067233841e-01,2.640202797590130990e-01,7.555063050307773143e-01,1.985328337603013971e-01,5.550166660918161021e-01
0.000000000000000000e+00,6.200000000000000000e+01,1.000000000000000000e+00,5.136554622497110367e-01,4.337146855479190322e-02,7.326356920918749571e-01,9.895062292798022519e-01,6.450323692371566775e-01,6.997673840828546599e-01,6.185407907028306340e-02,7.223192823126595163e-01,9.926158318094923105e-01
0.000000000000000000e+00,6.300000000000000000e+01,1.000000000000000000e+00,1.360215538454039308e-01,3.368939749641500780e-01,6.559971192292026743e-01,1.826235149141930414e-01,5.613095976300487289e-01,2.190053559690734453e-01,2.282719843126213011e-01,3.406551072866538243e-01,7.468573039025883098e-02
0.000000000000000000e+00,6.400000000000000000e+01,1.000000000000000000e+00,3.613860589237662957e-01,3.972561914677992245e-01,2.762051854889914226e-01,4.827914416838317013e-01,3.838665699789353125e-01,3.866815466893364084e-01,1.928017408187900905e-01,8.370993223458662591e-01,6.353895263808403415e-01
0.000000000000000000e+00,6.500000000000000000e+01,1.000000000000000000e+00,5.516746592057550913e-01,3.066815613002367158e-01,6.771311940633002457e-01,7.567106382099073603e-01,4.979460648586778726e-01,8.333830098224304095e-02,9.359635094711481473e-01,1.821765357241927896e-01,1.492154691543385869e-01
0.000000000000000000e+00,6.600000000000000000e+01,1.000000000000000000e+00,5.051669520056881746e-01,3.555497250556511890e-01,8.903367490399090034e-01,6.263122948046974114e-01,1.605791265439270310e-01,5.119436894617950262e-01,7.532221681220903076e-01,5.418725751977387928e-01,3.719228504077849440e-01
0.000000000000000000e+00,6.700000000000000000e+01,1.000000000000000000e+00,1.280012410641527820e-01,4.170266974070802046e-01,3.894034654469774592e-01,9.146610821707334971e-01,5.571895643244951790e-01,4.395042340325517882e-01,1.071722769227508865e-01,3.820551827668280387e-01,7.768952028492053241e-01
0.000000000000000000e+00,6.800000000000000000e+01,1.000000000000000000e+00,7.175818542522065524e-01,5.447039450068518196e-01,9.613374250387107800e-02,8.728164209677493623e-01,1.565083978715174906e-01,2.494991626389275741e-02,4.979539098926858420e-01,8.386388834643476731e-02,2.899488100732213747e-01
0.000000000000000000e+00,6.900000000000000000e+01,1.000000000000000000e+00,2.752847416885323417e-01,3.372362456542712383e-01,9.607093466171987561e-01,1.549238789938995886e-01,1.760985934730960878e-01,2.905611699282119043e-01,8.603661549007944886e-01,1.119356697575679682e-02,5.702536558084746465e-01
0.000000000000000000e+00,7.000000000000000000e+01,1.000000000000000000e+00,4.289174307676923981e-01,2.223765616796054001e-01,2.755307437250323899e-01,9.068802732515152121e-01,6.314775959885646772e-01,3.523818950486541368e-01,1.451874697833641648e-01,5.510331906605436814e-03,7.849645058276056853e-01
0.000000000000000000e+00,7.100000000000000000e+01,1.000000000000000000e+00,1.227956885506967799e-01,3.256633916265586626e-01,9.920613356798916316e-01,4.051317211363628656e-01,5.911797396166000862e-01,7.609658054903005731e-01,8.082154914488598463e-01,4.506331291084982871e-01,2.936362598681542257e-01
0.000000000000000000e+00,7.200000000000000000e+01,1.000000000000000000e+00,6.914912482944263195e-01,8.268018932254185271e-01,8.052818840551172475e-01,4.823898775820676388e-01,2.426254747575484760e-02,9.214568552882682617e-01,9.441711168525078746e-01,5.733430471665253991e-01,5.261529811832211800e-01
0.000000000000000000e+00,7.300000000000000000e+01,1.000000000000000000e+00,6.937477973306593881e-02,2.576863720975554051e-01,8.190831063269310430e-01,4.851421477718251829e-01,4.483941970714631076e-01,6.653522275668027897e-01,9.733091267442367522e-01,5.267515466650495304e-01,1.456459508658185520e-01
0.000000000000000000e+00,7.400000000000000000e+01,1.000000000000000000e+00,7.402023473394361286e-01,6.140639163461948380e-01,9.598253981857851613e-01,7.401619922037463439e-01,1.372378480184391902e-01,4.691122580718498636e-02,2.157163633916814316e-01,7.096816492627728845e-01,2.298328816722741141e-01
0.000000000000000000e+00,7.500000000000000000e+01,1.000000000000000000e+00,7.196243027740372167e-01,5.839899128574049803e-01,7.223525988242807117e-02,4.347383403677045344e-01,3.056697264734231645e-03,6.109234734948592038e-01,3.097946973383792768e-01,9.337695645827854829e-01,8.535950217179009147e-01
0.000000000000000000e+00,7.600000000000000000e+01,1.000000000000000000e+00,2.402828194456168021e-01,1.929696793191212345e-01,5.903671395061945715e-01,4.571763213316539787e-01,5.493324987792641556e-01,3.517470232425680132e-01,7.001689586286065081e-01,7.130190318437924502e-01,4.947774702823788395e-01
0.000000000000000000e+00,7.700000000000000000e+01,1.000000000000000000e+00,2.257656821842027872e-01,3.101875524588909583e-01,1.960733689612161879e-01,9.520721391114715937e-01,2.422468741732984876e-01,4.097197880815480753e-01,3.053547730489282186e-01,2.439406113563273859e-01,3.392431015851736786e-01
0.000000000000000000e+00,7.800000000000000000e+01,1.000000000000000000e+00,5.644830473019541994e-01,2.348714957172971518e-01,7.702303443901727942e-01,8.789861842883454068e-01,9.366110526717235096e-01,6.154531357114495504e-01,6.453193590086619968e-01,5.804150278217549142e-01,1.592151538909329922e-01
0.000000000000000000e+00,7.900000000000000000e+01,1.000000000000000000e+00,6.991493934160712964e-01,7.546769934457944196e-01,3.934966469677666501e-01,6.327555935401395493e-01,1.838897260952583324e-01,2.684735671086361242e-01,5.734386345531632401e-01,5.420489938469581492e-01,5.273849114003229532e-01
0.000000000000000000e+00,8.000000000000000000e+01,1.000000000000000000e+00,4.519821695603565281e-02,9.300335163214430434e-01,1.494669349423375371e-01,5.715527013195890182e-01,8.682363493905354002e-02,3.020268819623380674e-01,3.033546701841818294e-01,9.065776305322564843e-01,3.564385598170036751e-01
0.000000000000000000e+00,8.100000000000000000e+01,1.000000000000000000e+00,8.148737274037977096e-01,8.398143511825717500e-01,8.726878598002135723e-01,9.896864705849435229e-01,2.491059167129132668e-01,4.084107536174299558e-01,1.321782127574071541e-01,2.944983443085303909e-01,2.062873605168591418e-02
0.000000000000000000e+00,8.200000000000000000e+01,1.000000000000000000e+00,5.270976811510081905e-01,9.295086199857360842e-01,1.529409883055830033e-01,9.136873378846349647e-01,2.281345158353895730e-01,8.786790136910822557e-01,4.220229232812156006e-02,3.503153550173400133e-01,9.199871770361744971e-03
0.000000000000000000e+00,8.300000000000000000e+01,1.000000000000000000e+00,1.335533452918695740e-01,5.439442452010888607e-01,5.646366375351352662e-02,9.189865063254913924e-01,4.526068111515325620e-01,3.488706255130543665e-01,3.588775566770076031e-01,7.958984703793084980e-01,3.243890688142238021e-01
0.000000000000000000e+00,8.400000000000000000e+01,1.000000000000000000e+00,1.888355631248828104e-02,3.604640348016839857e-01,9.163028084671412943e-01,1.195976995951590904e-01,2.355896720644659048e-01,1.068552521040282421e-01,6.984681603759477220e-01,9.988037714640185527e-03,3.428856193109315331e-01
0.000000000000000000e+00,8.500000000000000000e+01,1.000000000000000000e+00,9.064289295075432795e-01,3.878830012870250199e-01,5.849612954077550997e-01,6.148101699942097875e-01,7.307083322692878857e-01,6.601932423583645182e-03,5.995138050056680878e-02,7.354888437680211499e-01,1.353479044686990429e-01
0.000000000000000000e+00,8.600000000000000000e+01,1.000000000000000000e+00,7.605637127143499709e-01,8.301678728503525395e-01,3.355380598171672224e-01,7.610757038393468621e-01,3.393059639065629796e-01,8.903407859372586275e-01,5.246466667067647416e-01,4.907949337669044176e-01,2.007564177660435822e-01
0.000000000000000000e+00,8.700000000000000000e+01,1.000000000000000000e+00,1.506358431772004680e-01,2.338484122110214836e-01,5.070604587129647900e-01,2.845839869244977116e-01,4.770709768608766277e-01,3.696346244027537420e-01,8.078910143675859246e-01,7.391868189947141676e-01,4.263793961842875513e-01
0.000000000000000000e+00,8.800000000000000000e+01,1.000000000000000000e+00,4.637257010363088350e-01,5.624555710966714361e-01,4.003928210600533610e-01,6.828151037162722981e-01,4.996693032010439683e-01,8.226826634987752795e-01,7.220101327648609235e-03,1.121099719847753473e-01,5.579789063054229059e-01
0.000000000000000000e+00,8.900000000000000000e+01,1.000000000000000000e+00,1.407309994952695709e-01,5.565755889452360661e-01,6.468234746188968876e-01,3.430485916808999614e-01,7.181833224900239232e-01,7.976760878757156448e-01,9.300984637259106513e-01,8.797818114740733053e-01,4.265359606520499058e-01
0.000000000000000000e+00,9.000000000000000000e+01,1.000000000000000000e+00,2.922362249719062666e-01,3.081984014350748202e-01,6.848108649845201512e-01,7.552692946461445622e-01,3.110984107513953267e-01,5.947689447707249499e-01,2.165733401760915333e-01,7.899413756515354379e-01,8.836553426777553621e-01
0.000000000000000000e+00,9.100000000000000000e+01,1.000000000000000000e+00,7.011985086881600271e-01,5.943307638028892947e-01,3.482177931792640457e-01,3.635082333590423653e-01,8.581145541352530604e-02,8.949274023820696922e-01,8.452104452765821785e-01,6.830050279215866826e-01,3.507715768591139760e-01
0.000000000000000000e+00,9.200000000000000000e+01,1.000000000000000000e+00,5.988737428996593337e-01,9.715110451326298691e-01,5.767690257322242164e-01,2.970838456596883725e-01,5.703555798214380301e-01,2.363658814408382547e-01,4.131953604658477053e-01,5.968394716229533659e-01,6.795553918787569092e-01
0.000000000000000000e+00,9.300000000000000000e+01,1.000000000000000000e+00,1.585604240895762684e-01,3.749293800953633626e-01,9.706455093048765859e-01,4.727613284439968755e-02,3.891513578454841582e-02,8.455943617436354476e-01,5.136649340060241986e-01,5.340896562474199971e-01,2.981861547445083804e-01
0.000000000000000000e+00,9.400000000000000000e+01,1.000000000000000000e+00,8.694432249754977526e-01,5.057942669903147115e-01,4.903686484939215884e-01,3.328048435309119979e-01,3.850238868896460609e-02,7.655885080699595946e-01,2.537305886928147292e-01,6.032522911942146404e-01,2.247854056646581000e-02
0.000000000000000000e+00,9.500000000000000000e+01,1.000000000000000000e+00,6.133204432372463266e-01,1.904244049424151930e-01,1.321882989632662264e-01,2.678266110653226839e-01,5.151193879322569780e-01,4.396889693803149868e-01,9.149494104719604337e-01,3.461768108080167661e-01,6.383750643551320270e-01
0.000000000000000000e+00,9.600000000000000000e+01,1.000000000000000000e+00,4.070039862375542938e-01,5.073784751208866295e-01,8.303344188131996928e-01,8.305353504906600737e-01,2.138706230121403262e-01,2.144545715276696685e-01,7.597778025623139753e-01,7.449707507310544541e-01,8.219553516147826144e-02
